Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R19,R_0402,-32.24,44.04,-32.24,44.04,-32.24,44.04,Top,-90,R_0402_4.7K
R20,R_0402,-29.56,44.15,-29.56,44.15,-29.56,44.15,Top,90,R_0402_4.7K
R23,R_0402,-40.62,67.97,-40.62,67.97,-40.62,67.97,Top,37.5,R_0402_4.7K
R39,R_0402,-75.27,56.65,-75.27,56.65,-75.27,56.65,Top,90,R_0402_10K
R72,R_0402,-64.09,13,-64.09,13,-64.09,13,Top,90,R_0402_10K
R73,R_0402,-65.94,13.05,-65.94,13.05,-65.94,13.05,Top,90,R_0402_10K
U1,SOIC-8_3.9x4.9mm_Pitch1.27mm,-46.66,46.44,-46.66,46.44,-46.66,46.44,Top,0,SOIC-8_3.9x4.9mm_Pitch1.27mm_AT25_EEPROM
U3,SOT-23-6,-80.46,69.6,-80.46,69.6,-80.46,69.6,Top,0,SOT-23-6_SiP32510
U4,SOT-23-6,-45.36,18.5,-45.36,18.5,-45.36,18.5,Top,180,SOT-23-6_SiP32510
U6,XMC4200-64LQFP,-56.54,65.63,-56.54,65.63,-56.54,65.63,Top,-90,XMC4200-64LQFP_XMC4200-F64
U7,SOT-23-6,-74.96,17.5,-74.96,17.5,-74.96,17.5,Top,-90,SOT-23-6_SiP32510
U8,SOT-23-6,-48.16,72.1,-48.16,72.1,-48.16,72.1,Top,90,SOT-23-6_SiP32510
U9,PQFN50P300X250X86-14N,-77.84,58.92,-77.84,58.92,-77.84,58.92,Top,0,PQFN50P300X250X86-14N_LSM6DS3
U10,SOT-23-6,-34.86,37.8,-34.86,37.8,-34.86,37.8,Top,0,SOT-23-6_SiP32510
U11,HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias,-30.16,48.9,-30.16,48.9,-30.16,48.9,Top,-90,HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias_A4953
U12,SOT-23-6,-66.81,49.6,-66.81,49.6,-66.81,49.6,Top,180,SOT-23-6_SiP32510
U13,SOT-23-6,-21.3,40.79,-21.3,40.79,-21.3,40.79,Top,180,SOT-23-6_MCP4012T-503E/CH
U19,SOT-23-6,-75.04,71.25,-75.04,71.25,-75.04,71.25,Top,-25,SOT-23-6_TLV493D
U20,SOT-23-6,-80.39,19.65,-80.39,19.65,-80.39,19.65,Top,-142.5,SOT-23-6_TLV493D
U21,SOT-23-6,-43.96,67.82,-43.96,67.82,-43.96,67.82,Top,37.5,SOT-23-6_TLV493D
U22,SOT-23-6,-50.62,15.76,-50.62,15.76,-50.62,15.76,Top,157.5,SOT-23-6_TLV493D
Y1,Crystal_NX3225,-66.86,63.4,-66.86,63.4,-66.86,63.4,Top,90,Crystal_NX3225_12MHz
