Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R5,R_0402,46.13,78.63,46.13,78.63,46.13,78.63,bottom,90,33
R7,R_0402,46.42,52.45,46.42,52.45,46.42,52.45,bottom,0,390K (1%)
R8,R_0402,84.35,53.16,84.35,53.16,84.35,53.16,bottom,90,100K
R9,R_0402,84.07,56.06,84.07,56.06,84.07,56.06,bottom,90,4.7K
R10,R_0402,48.75,65.00,48.75,65.00,48.75,65.00,bottom,0,499
R11,R_0402,47.57,75.70,47.57,75.70,47.57,75.70,bottom,0,100K
R12,R_0402,8.64,44.91,8.64,44.91,8.64,44.91,bottom,0,33
R13,R_0402,8.69,42.95,8.69,42.95,8.69,42.95,bottom,0,33
R16,R_0402,70.68,70.17,70.68,70.17,70.68,70.17,bottom,-52.5,4.7K
R18,R_1206,84.63,45.59,84.63,45.59,84.63,45.59,bottom,-90,4.7K
R19,R_0402,29.85,68.20,29.85,68.20,29.85,68.20,bottom,90,390K (1%)
R20,R_0402,70.49,19.05,70.49,19.05,70.49,19.05,bottom,-90,390K (1%)
R21,R_0402,40.64,18.42,40.64,18.42,40.64,18.42,bottom,-90,390K (1%)
R22,R_0402,64.64,69.72,64.64,69.72,64.64,69.72,bottom,0,390K (1%)
R23,R_0402,71.73,69.55,71.73,69.55,71.73,69.55,bottom,-52.5,4.7K
R24,R_0402,93.98,40.13,93.98,40.13,93.98,40.13,bottom,-90,390K (1%)
R25,R_0402,23.90,51.21,23.90,51.21,23.90,51.21,bottom,0,390K (1%)
R26,R_0402,74.66,36.88,74.66,36.88,74.66,36.88,bottom,180,390K (1%)
R39,R_0402,37.69,56.65,37.69,56.65,37.69,56.65,bottom,90,10K
R41,R_0402_1005Metric,69.79,70.80,69.79,70.80,69.79,70.80,bottom,-52.5,4.7K
R45,R_0402_1005Metric,72.67,68.83,72.67,68.83,72.67,68.83,bottom,-52.5,4.7K
U1,SOIC-8_3.9x4.9mm_P1.27mm,66.68,46.46,66.68,46.46,66.68,46.46,bottom,180,AT25xxx
U3,SOT-23-6,32.50,69.60,32.50,69.60,32.50,69.60,bottom,180,SiP32510
U4,SOT-23-6,67.60,18.50,67.60,18.50,67.60,18.50,bottom,0,SiP32510
U6,XMC4200-64LQFP,56.42,65.63,56.42,65.63,56.42,65.63,bottom,-90,XMC4200-F64
U7,SOT-23-6,38.00,17.50,38.00,17.50,38.00,17.50,bottom,-90,SiP32510
U8,SOT-23-6,64.80,72.10,64.80,72.10,64.80,72.10,bottom,90,SiP32510
U9,PQFN50P300X250X86-14N,35.12,58.92,35.12,58.92,35.12,58.92,bottom,180,LSM6DS3
U10,SOT-23-6,91.37,40.02,91.37,40.02,91.37,40.02,bottom,-90,SiP32510
U11,SOT-23-6,24.59,48.44,24.59,48.44,24.59,48.44,bottom,0,SiP32510
U12,SOT-23-6,46.15,49.60,46.15,49.60,46.15,49.60,bottom,0,SiP32510
U13,SOT-23-6,81.41,56.52,81.41,56.52,81.41,56.52,bottom,0,MCP4012T-503E/CH
U14,SOT-23-6,74.17,39.37,74.17,39.37,74.17,39.37,bottom,180,SiP32510
U15,SOT-23-6,20.57,47.44,20.57,47.44,20.57,47.44,bottom,-82.8,TLV493D
U17,SOT-23-6,80.65,39.83,80.65,39.83,80.65,39.83,bottom,82.8,TLV493D
U19,SOT-23-6,37.92,71.25,37.92,71.25,37.92,71.25,bottom,-25,TLV493D
U20,SOT-23-6,32.57,19.65,32.57,19.65,32.57,19.65,bottom,-142.5,TLV493D
U21,SOT-23-6,69.00,67.82,69.00,67.82,69.00,67.82,bottom,142.5,TLV493D
U22,SOT-23-6,62.34,15.76,62.34,15.76,62.34,15.76,bottom,22.5,TLV493D
Y1,Crystal_NX3225,46.10,63.40,46.10,63.40,46.10,63.40,bottom,90,12MHz
