Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,,,Ref,Val,Package,PosX,PosY,Rot,Side
C56,C_0603,20.9296,43.7896,20.9296,43.7896,20.9296,43.7896,,,,,,C56,4.7uF,C_0603,20.9296,43.7896,262.8,bottom
C57,C_0603,32.980015,22.657429,32.980015,22.657429,32.980015,22.657429,,,,,,C57,4.7uF,C_0603,32.980015,22.657429,142.5,bottom
C58,C_0603,67.675267,65.455291,67.675267,65.455291,67.675267,65.455291,,,,,,C58,4.7uF,C_0603,67.675267,65.455291,320,bottom
C59,C_0402,61.59,17.91,61.59,17.91,61.59,17.91,,,,,,C59,0.1uF,C_0402,61.59,17.91,22.5,bottom
C60,C_0402,40.259,20.066,40.259,20.066,40.259,20.066,,,,,,C60,0.1uF,C_0402,40.259,20.066,0,bottom
C61,C_0402,67.056,71.66,67.056,71.66,67.056,71.66,,,,,,C61,0.1uF,C_0402,67.056,71.66,90,bottom
C62,C_0603,48.78,49.46,48.78,49.46,48.78,49.46,,,,,,C62,4.7uF,C_0603,48.78,49.46,90,bottom
C63,C_0603,77.1398,41.1226,77.1398,41.1226,77.1398,41.1226,,,,,,C63,4.7uF,C_0603,77.1398,41.1226,262.8,bottom
C64,C_0402,22.098,43.815,22.098,43.815,22.098,43.815,,,,,,C64,0.1uF,C_0402,22.098,43.815,82.8,bottom
C65,C_0402,78.4606,40.894,78.4606,40.894,78.4606,40.894,,,,,,C65,0.1uF,C_0402,78.4606,40.894,82.8,bottom
C66,C_0402,91.8718,37.5412,91.8718,37.5412,91.8718,37.5412,,,,,,C66,1uF,C_0402,91.8718,37.5412,0,bottom
C67,C_0402,37.719,20.066,37.719,20.066,37.719,20.066,,,,,,C67,1uF,C_0402,37.719,20.066,0,bottom
C68,C_0402,68.326,71.66,68.326,71.66,68.326,71.66,,,,,,C68,1uF,C_0402,68.326,71.66,90,bottom
C69,C_0402,88.011,40.1828,88.011,40.1828,88.011,40.1828,,,,,,C69,0.1uF,C_0402,88.011,40.1828,270,bottom
C70,C_0402,89.0524,40.1574,89.0524,40.1574,89.0524,40.1574,,,,,,C70,1uF,C_0402,89.0524,40.1574,270,bottom
D2,D_SOD-123,79.9084,45.847,79.9084,45.847,79.9084,45.847,,,,,,D2,D_Schottky,D_SOD-123,79.9084,45.847,90,bottom
D5,D_SOD-123,49.7078,77.6478,49.7078,77.6478,49.7078,77.6478,,,,,,D5,MBR0520LT1G,D_SOD-123,49.7078,77.6478,180,bottom
G1,SOT-23-5,81.3562,52.6542,81.3562,52.6542,81.3562,52.6542,,,,,,G1,AP3012,SOT-23-5,81.3562,52.6542,270,bottom
L2,L_0603_1608Metric,58.87,57.1334,58.87,57.1334,58.87,57.1334,,,,,,L2,BLM18PG600,L_0603_1608Metric,58.87,57.1334,90,bottom
L4,C_0805,80.5942,49.4792,80.5942,49.4792,80.5942,49.4792,,,,,,L4,10uH,C_0805,80.5942,49.4792,180,bottom
P7,SFV30R-4STBE1HLF-Inverted,43.42,42.41,43.42,42.41,43.42,42.41,,,,,,P7,SFV30R-4STBE1HLF,SFV30R-4STBE1HLF-Inverted,43.42,42.41,0,bottom
Q1,SOT-23,40.42716,57.8542,40.42716,57.8542,40.42716,57.8542,,,,,,Q1,MMBT2222,SOT-23,40.42716,57.8542,90,bottom
Q7,SOT-23,88.646,47.0916,88.646,47.0916,88.646,47.0916,,,,,,Q7,MMBT2222,SOT-23,88.646,47.0916,180,bottom
R4,R_0402,42.8244,80.32,42.8244,80.32,42.8244,80.32,,,,,,R4,33,R_0402,42.8244,80.32,90,bottom
R5,R_0402,46.125,78.625,46.125,78.625,46.125,78.625,,,,,,R5,33,R_0402,46.125,78.625,90,bottom
R7,R_0402,46.424,52.451,46.424,52.451,46.424,52.451,,,,,,R7,390K (1%),R_0402,46.424,52.451,0,bottom
R8,R_0402,84.3534,53.1622,84.3534,53.1622,84.3534,53.1622,,,,,,R8,100K,R_0402,84.3534,53.1622,90,bottom
R9,R_0402,84.074,56.0578,84.074,56.0578,84.074,56.0578,,,,,,R9,4.7K,R_0402,84.074,56.0578,90,bottom
R10,R_0402,48.75,65,48.75,65,48.75,65,,,,,,R10,499,R_0402,48.75,65,0,bottom
R11,R_0402,47.57,75.7,47.57,75.7,47.57,75.7,,,,,,R11,100K,R_0402,47.57,75.7,0,bottom
R12,R_0402,8.636,44.9072,8.636,44.9072,8.636,44.9072,,,,,,R12,33,R_0402,8.636,44.9072,0,bottom
